nuts3;nuts2;bidding_zone
EL641;EL64;GR
EL642;EL64;GR
EL643;EL64;GR
EL644;EL64;GR
EL645;EL64;GR
EL651;EL65;GR
EL652;EL65;GR
EL653;EL65;GR
ELZZZ;ELZZ;GR
ES111;ES11;ES
ES112;ES11;ES
ES113;ES11;ES
ES114;ES11;ES
ES120;ES12;ES
ES130;ES13;ES
ES211;ES21;ES
ES212;ES21;ES
ES213;ES21;ES
ES220;ES22;ES
ES230;ES23;ES
ES241;ES24;ES
ES242;ES24;ES
ES243;ES24;ES
ES300;ES30;ES
ES411;ES41;ES
ES412;ES41;ES
ES413;ES41;ES
ES414;ES41;ES
ES415;ES41;ES
ES416;ES41;ES
ES417;ES41;ES
ES418;ES41;ES
ES419;ES41;ES
ES421;ES42;ES
ES422;ES42;ES
ES423;ES42;ES
ES424;ES42;ES
ES425;ES42;ES
ES431;ES43;ES
ES432;ES43;ES
ES511;ES51;ES
ES512;ES51;ES
ES513;ES51;ES
ES514;ES51;ES
ES521;ES52;ES
ES522;ES52;ES
ES523;ES52;ES
ES531;ES53;ES
ES532;ES53;ES
ES533;ES53;ES
ES611;ES61;ES
ES612;ES61;ES
ES613;ES61;ES
ES614;ES61;ES
ES615;ES61;ES
ES616;ES61;ES
ES617;ES61;ES
ES618;ES61;ES
ES620;ES62;ES
ES630;ES63;ES
ES640;ES64;ES
ES703;ES70;ES
ES704;ES70;ES
ES705;ES70;ES
ES706;ES70;ES
ES707;ES70;ES
ES708;ES70;ES
ES709;ES70;ES
FI193;FI19;FI
FI194;FI19;FI
FI195;FI19;FI
FI196;FI19;FI
FI197;FI19;FI
FI1B1;FI1B;FI
FI1C1;FI1C;FI
FI1C2;FI1C;FI
FI1C3;FI1C;FI
FI1C4;FI1C;FI
FI1C5;FI1C;FI
FI1D1;FI1D;FI
FI1D2;FI1D;FI
FI1D3;FI1D;FI
FI1D4;FI1D;FI
FI1D5;FI1D;FI
FI1D6;FI1D;FI
FI1D7;FI1D;FI
FI200;FI20;FI
FRA30;FRA3;FR
FRA40;FRA4;FR
FR101;FR10;FR
FR102;FR10;FR
FR103;FR10;FR
FR104;FR10;FR
FR105;FR10;FR
FR106;FR10;FR
FR107;FR10;FR
FR108;FR10;FR
FR211;FR21;FR
FR212;FR21;FR
FR213;FR21;FR
FR214;FR21;FR
FR221;FR22;FR
FR222;FR22;FR
FR223;FR22;FR
FR231;FR23;FR
FR232;FR23;FR
FR241;FR24;FR
FR242;FR24;FR
FR243;FR24;FR
FR244;FR24;FR
FR245;FR24;FR
FR246;FR24;FR
FR251;FR25;FR
FR252;FR25;FR
FR253;FR25;FR
FR261;FR26;FR
FR262;FR26;FR
FR263;FR26;FR
FR264;FR26;FR
FR301;FR30;FR
FR302;FR30;FR
FR411;FR41;FR
FR412;FR41;FR
FR413;FR41;FR
FR414;FR41;FR
FR421;FR42;FR
FR422;FR42;FR
FR431;FR43;FR
FR432;FR43;FR
FR433;FR43;FR
FR434;FR43;FR
FR511;FR51;FR
FR512;FR51;FR
FR513;FR51;FR
FR514;FR51;FR
FR515;FR51;FR
FR521;FR52;FR
FR522;FR52;FR
FR523;FR52;FR
FR524;FR52;FR
FR531;FR53;FR
FR532;FR53;FR
FR533;FR53;FR
FR534;FR53;FR
FR611;FR61;FR
FR612;FR61;FR
FR613;FR61;FR
FR614;FR61;FR
FR615;FR61;FR
FR621;FR62;FR
FR622;FR62;FR
FR623;FR62;FR
FR624;FR62;FR
FR625;FR62;FR
FR626;FR62;FR
FR627;FR62;FR
FR628;FR62;FR
FR631;FR63;FR
FR632;FR63;FR
FR633;FR63;FR
FR711;FR71;FR
FR712;FR71;FR
FR713;FR71;FR
FR714;FR71;FR
FR715;FR71;FR
FR716;FR71;FR
FR717;FR71;FR
FR718;FR71;FR
FR721;FR72;FR
FR722;FR72;FR
FR723;FR72;FR
FR724;FR72;FR
FR811;FR81;FR
FR812;FR81;FR
FR813;FR81;FR
FR814;FR81;FR
FR815;FR81;FR
FR821;FR82;FR
FR822;FR82;FR
FR823;FR82;FR
FR824;FR82;FR
FR825;FR82;FR
FR826;FR82;FR
FR831;FR83;FR
FR832;FR83;FR
HR031;HR03;HR
HR032;HR03;HR
HR033;HR03;HR
HR034;HR03;HR
HR035;HR03;HR
HR036;HR03;HR
HR037;HR03;HR
HR041;HR04;HR
HR042;HR04;HR
HR043;HR04;HR
HR044;HR04;HR
HR045;HR04;HR
HR046;HR04;HR
HR047;HR04;HR
HR048;HR04;HR
HR049;HR04;HR
HR04A;HR04;HR
HR04B;HR04;HR
HR04C;HR04;HR
HR04D;HR04;HR
HR04E;HR04;HR
HU101;HU10;HU
HU102;HU10;HU
HU211;HU21;HU
HU212;HU21;HU
HU213;HU21;HU
HU221;HU22;HU
HU222;HU22;HU
HU223;HU22;HU
HU231;HU23;HU
HU232;HU23;HU
HU233;HU23;HU
HU311;HU31;HU
HU312;HU31;HU
HU313;HU31;HU
HU321;HU32;HU
HU322;HU32;HU
HU323;HU32;HU
HU331;HU33;HU
HU332;HU33;HU
HU333;HU33;HU
IE011;IE01;IE
IE012;IE01;IE
IE013;IE01;IE
IE021;IE02;IE
IE022;IE02;IE
IE023;IE02;IE
IE024;IE02;IE
IE025;IE02;IE
KS111;KS11;KS
LT001;LT00;LT
LT002;LT00;LT
LT003;LT00;LT
LT004;LT00;LT
LT005;LT00;LT
LT006;LT00;LT
LT007;LT00;LT
LT008;LT00;LT
LT009;LT00;LT
LT00A;LT00;LT
LU000;LU00;DE_LU
LV003;LV00;LV
LV005;LV00;LV
LV006;LV00;LV
LV007;LV00;LV
LV008;LV00;LV
LV009;LV00;LV
MD111;MD11;MD
ME111;ME11;ME
MK001;MK00;MK
MK002;MK00;MK
MK003;MK00;MK
MK004;MK00;MK
MK005;MK00;MK
MK006;MK00;MK
MK007;MK00;MK
MK008;MK00;MK
MT001;MT00;MT
MT002;MT00;MT
NL111;NL11;NL
NL112;NL11;NL
NL113;NL11;NL
NL121;NL12;NL
NL122;NL12;NL
NL123;NL12;NL
NL131;NL13;NL
NL132;NL13;NL
NL133;NL13;NL
NL211;NL21;NL
NL212;NL21;NL
NL213;NL21;NL
NL221;NL22;NL
NL224;NL22;NL
NL225;NL22;NL
NL226;NL22;NL
NL230;NL23;NL
NL310;NL31;NL
NL321;NL32;NL
NL322;NL32;NL
NL323;NL32;NL
NL324;NL32;NL
NL325;NL32;NL
NL326;NL32;NL
NL327;NL32;NL
NL332;NL33;NL
NL333;NL33;NL
NL337;NL33;NL
NL338;NL33;NL
NL339;NL33;NL
NL33A;NL33;NL
NL341;NL34;NL
NL342;NL34;NL
NL411;NL41;NL
NL412;NL41;NL
NL413;NL41;NL
NL414;NL41;NL
NL421;NL42;NL
NL422;NL42;NL
NL423;NL42;NL
PL113;PL11;PL
PL114;PL11;PL
PL115;PL11;PL
PL116;PL11;PL
PL117;PL11;PL
PL127;PL12;PL
PL128;PL12;PL
PL129;PL12;PL
PL12A;PL12;PL
PL12B;PL12;PL
PL12C;PL12;PL
PL12D;PL12;PL
PL12E;PL12;PL
PL213;PL21;PL
PL214;PL21;PL
PL217;PL21;PL
PL218;PL21;PL
PL219;PL21;PL
PL21A;PL21;PL
PL224;PL22;PL
PL225;PL22;PL
PL227;PL22;PL
PL228;PL22;PL
PL229;PL22;PL
PL22A;PL22;PL
PL22B;PL22;PL
PL22C;PL22;PL
PL311;PL31;PL
PL312;PL31;PL
PL314;PL31;PL
PL315;PL31;PL
PL323;PL32;PL
PL324;PL32;PL
PL325;PL32;PL
PL326;PL32;PL
PL331;PL33;PL
PL332;PL33;PL
PL343;PL34;PL
PL344;PL34;PL
PL345;PL34;PL
PL411;PL41;PL
PL414;PL41;PL
PL415;PL41;PL
PL416;PL41;PL
PL417;PL41;PL
PL418;PL41;PL
PL424;PL42;PL
PL426;PL42;PL
PL427;PL42;PL
PL428;PL42;PL
PL431;PL43;PL
PL432;PL43;PL
PL514;PL51;PL
PL515;PL51;PL
PL516;PL51;PL
PL517;PL51;PL
PL518;PL51;PL
PL523;PL52;PL
PL524;PL52;PL
PL613;PL61;PL
PL616;PL61;PL
PL617;PL61;PL
PL618;PL61;PL
PL619;PL61;PL
PL621;PL62;PL
PL622;PL62;PL
PL623;PL62;PL
PL633;PL63;PL
PL634;PL63;PL
PL636;PL63;PL
PL637;PL63;PL
PL638;PL63;PL
PT111;PT11;PT
PT112;PT11;PT
PT119;PT11;PT
PT11A;PT11;PT
PT11B;PT11;PT
PT11C;PT11;PT
PT11D;PT11;PT
PT11E;PT11;PT
PT150;PT15;PT
PT16B;PT16;PT
PT16D;PT16;PT
PT16E;PT16;PT
PT16F;PT16;PT
PT16G;PT16;PT
PT16H;PT16;PT
PT16I;PT16;PT
PT16J;PT16;PT
PT170;PT17;PT
PT181;PT18;PT
PT184;PT18;PT
PT185;PT18;PT
PT186;PT18;PT
PT187;PT18;PT
PT200;PT20;PT
PT300;PT30;PT
RO111;RO11;RO
RO112;RO11;RO
RO113;RO11;RO
RO114;RO11;RO
RO115;RO11;RO
RO116;RO11;RO
RO121;RO12;RO
RO122;RO12;RO
RO123;RO12;RO
RO124;RO12;RO
RO125;RO12;RO
RO126;RO12;RO
RO211;RO21;RO
RO212;RO21;RO
RO213;RO21;RO
RO214;RO21;RO
RO215;RO21;RO
RO216;RO21;RO
RO221;RO22;RO
RO222;RO22;RO
RO223;RO22;RO
RO224;RO22;RO
RO225;RO22;RO
RO226;RO22;RO
RO311;RO31;RO
RO312;RO31;RO
RO313;RO31;RO
RO314;RO31;RO
RO315;RO31;RO
RO316;RO31;RO
RO317;RO31;RO
RO321;RO32;RO
RO322;RO32;RO
RO411;RO41;RO
RO412;RO41;RO
RO413;RO41;RO
RO414;RO41;RO
RO415;RO41;RO
RO421;RO42;RO
RO422;RO42;RO
RO423;RO42;RO
RO424;RO42;RO
RS000;RS00;RS
RS111;RS11;RS
RS121;RS12;RS
RS122;RS12;RS
RS123;RS12;RS
RS124;RS12;RS
RS125;RS12;RS
RS126;RS12;RS
RS127;RS12;RS
RS211;RS21;RS
RS212;RS21;RS
RS213;RS21;RS
RS214;RS21;RS
RS215;RS21;RS
RS216;RS21;RS
RS217;RS21;RS
RS218;RS21;RS
RS221;RS22;RS
RS222;RS22;RS
RS223;RS22;RS
RS224;RS22;RS
RS225;RS22;RS
RS226;RS22;RS
RS227;RS22;RS
RS228;RS22;RS
RS229;RS22;RS
SE110;SE11;SE_3
SE121;SE12;SE_3
SE122;SE12;SE_3
SE123;SE12;SE_3
SE124;SE12;SE_3
SE125;SE12;SE_3
SE211;SE21;SE_4
SE212;SE21;SE_4
SE213;SE21;SE_4
SE214;SE21;SE_3
SE221;SE22;SE_4
SE224;SE22;SE_4
SE231;SE23;SE_4
SE232;SE23;SE_3
SE311;SE31;SE_3
SE312;SE31;SE_3
SE313;SE31;SE_3
SE321;SE32;SE_2
SE322;SE32;SE_2
SE331;SE33;SE_2
SE332;SE33;SE_1
SI031;SI03;SI
SI032;SI03;SI
SI033;SI03;SI
SI034;SI03;SI
SI035;SI03;SI
SI036;SI03;SI
SI037;SI03;SI
SI038;SI03;SI
SI041;SI04;SI
SI042;SI04;SI
SI043;SI04;SI
SI044;SI04;SI
SK010;SK01;SK
SK021;SK02;SK
SK022;SK02;SK
SK023;SK02;SK
SK031;SK03;SK
SK032;SK03;SK
SK041;SK04;SK
SK042;SK04;SK
NO011;NO01;NO_1
NO012 ;NO012;NO_1
NO021;NO02;NO_1
NO022;NO02;NO_1
NO031 ;NO031;NO_1
NO032;NO03;NO_5
NO033;NO03;NO_2
NO034;NO03;NO_2
NO041 ;NO041;NO_2
NO042;NO04;NO_2
NO043;NO04;NO_2
NO051 ;NO051;NO_5
NO052;NO05;NO_3
NO053;NO05;NO_3
NO061 ;NO061;NO_3
NO062;NO06;NO_3
NO071 ;NO071;NO_4
NO072;NO07;NO_4
NO073;NO07;NO_4
CH011;CH01;CH
CH012;CH01;CH
CH013;CH01;CH
CH021;CH02;CH
CH022;CH02;CH
CH023;CH02;CH
CH024;CH02;CH
CH025;CH02;CH
CH031;CH03;CH
CH032;CH03;CH
CH033;CH03;CH
CH040;CH04;CH
CH051;CH05;CH
CH052;CH05;CH
CH053;CH05;CH
CH054;CH05;CH
CH055;CH05;CH
CH056;CH05;CH
CH057;CH05;CH
CH061;CH06;CH
CH062;CH06;CH
CH063;CH06;CH
CH064;CH06;CH
CH065;CH06;CH
CH066;CH06;CH
CH070;CH07;CH
TR100;TR10;TR
TR211;TR21;TR
TR212;TR21;TR
TR213;TR21;TR
TR221;TR22;TR
TR222;TR22;TR
TR310;TR31;TR
TR321;TR32;TR
TR322;TR32;TR
TR323;TR32;TR
TR331;TR33;TR
TR332;TR33;TR
TR333;TR33;TR
TR334;TR33;TR
TR411;TR41;TR
TR412;TR41;TR
TR413;TR41;TR
TR421;TR42;TR
TR422;TR42;TR
TR423;TR42;TR
TR424;TR42;TR
TR425;TR42;TR
TR510;TR51;TR
TR521;TR52;TR
TR522;TR52;TR
TR611;TR61;TR
TR612;TR61;TR
TR613;TR61;TR
TR621;TR62;TR
TR622;TR62;TR
TR631;TR63;TR
TR632;TR63;TR
TR633;TR63;TR
TR711;TR71;TR
TR712;TR71;TR
TR713;TR71;TR
TR714;TR71;TR
TR715;TR71;TR
TR721;TR72;TR
TR722;TR72;TR
TR723;TR72;TR
TR811;TR81;TR
TR812;TR81;TR
TR813;TR81;TR
TR821;TR82;TR
TR822;TR82;TR
TR823;TR82;TR
TR831;TR83;TR
TR832;TR83;TR
TR833;TR83;TR
TR834;TR83;TR
TR901;TR90;TR
TR902;TR90;TR
TR903;TR90;TR
TR904;TR90;TR
TR905;TR90;TR
TR906;TR90;TR
TRA11;TRA1;TR
TRA12;TRA1;TR
TRA13;TRA1;TR
TRA21;TRA2;TR
TRA22;TRA2;TR
TRA23;TRA2;TR
TRA24;TRA2;TR
TRB11;TRB1;TR
TRB12;TRB1;TR
TRB13;TRB1;TR
TRB14;TRB1;TR
TRB21;TRB2;TR
TRB22;TRB2;TR
TRB23;TRB2;TR
TRB24;TRB2;TR
TRC11;TRC1;TR
TRC12;TRC1;TR
TRC13;TRC1;TR
TRC21;TRC2;TR
TRC22;TRC2;TR
TRC31;TRC3;TR
TRC32;TRC3;TR
TRC33;TRC3;TR
TRC34;TRC3;TR
UA111;UA11;UA
UA112;UA11;UA
UA113;UA11;UA
UA114;UA11;UA
UA115;UA11;UA
UA116;UA11;UA
UA117;UA11;UA
UA118;UA11;UA
UA119;UA11;UA
UA11A;UA11;UA
UA11B;UA11;UA
UA11C;UA11;UA
UA11D;UA11;UA
UA11E;UA11;UA
UA11F;UA11;UA
UA11G;UA11;UA
UA11H;UA11;UA
UA11I;UA11;UA
UA11J;UA11;UA
UA11K;UA11;UA
UA11L;UA11;UA
UA11M;UA11;UA
UA11N;UA11;UA
UA11O;UA11;UA
UA121;UA12;UA
UKC11;UKC1;UK
UKC12;UKC1;UK
UKC13;UKC1;UK
UKC14;UKC1;UK
UKC21;UKC2;UK
UKC22;UKC2;UK
UKC23;UKC2;UK
UKD11;UKD1;UK
UKD12;UKD1;UK
UKD33;UKD3;UK
UKD34;UKD3;UK
UKD35;UKD3;UK
UKD36;UKD3;UK
UKD37;UKD3;UK
UKD41;UKD4;UK
UKD42;UKD4;UK
UKD44;UKD4;UK
UKD45;UKD4;UK
UKD46;UKD4;UK
UKD47;UKD4;UK
UKD61;UKD6;UK
UKD62;UKD6;UK
UKD63;UKD6;UK
UKD71;UKD7;UK
UKD72;UKD7;UK
UKD73;UKD7;UK
UKD74;UKD7;UK
UKE11;UKE1;UK
UKE12;UKE1;UK
UKE13;UKE1;UK
UKE21;UKE2;UK
UKE22;UKE2;UK
UKE31;UKE3;UK
UKE32;UKE3;UK
UKE41;UKE4;UK
UKE42;UKE4;UK
UKE44;UKE4;UK
UKE45;UKE4;UK
UKF11;UKF1;UK
UKF12;UKF1;UK
UKF13;UKF1;UK
UKF14;UKF1;UK
UKF15;UKF1;UK
UKF16;UKF1;UK
UKF21;UKF2;UK
UKF22;UKF2;UK
UKF24;UKF2;UK
UKF25;UKF2;UK
UKF30;UKF3;UK
UKG11;UKG1;UK
UKG12;UKG1;UK
UKG13;UKG1;UK
UKG21;UKG2;UK
UKG22;UKG2;UK
UKG23;UKG2;UK
UKG24;UKG2;UK
UKG31;UKG3;UK
UKG32;UKG3;UK
UKG33;UKG3;UK
UKG36;UKG3;UK
UKG37;UKG3;UK
UKG38;UKG3;UK
UKG39;UKG3;UK
UKH11;UKH1;UK
UKH12;UKH1;UK
UKH14;UKH1;UK
UKH15;UKH1;UK
UKH16;UKH1;UK
UKH17;UKH1;UK
UKH21;UKH2;UK
UKH23;UKH2;UK
UKH24;UKH2;UK
UKH25;UKH2;UK
UKH31;UKH3;UK
UKH32;UKH3;UK
UKH34;UKH3;UK
UKH35;UKH3;UK
UKH36;UKH3;UK
UKH37;UKH3;UK
UKI31;UKI3;UK
UKI32;UKI3;UK
UKI33;UKI3;UK
UKI34;UKI3;UK
UKI41;UKI4;UK
UKI42;UKI4;UK
UKI43;UKI4;UK
UKI44;UKI4;UK
UKI45;UKI4;UK
UKI51;UKI5;UK
UKI52;UKI5;UK
UKI53;UKI5;UK
UKI54;UKI5;UK
UKI61;UKI6;UK
UKI62;UKI6;UK
UKI63;UKI6;UK
UKI71;UKI7;UK
UKI72;UKI7;UK
UKI73;UKI7;UK
UKI74;UKI7;UK
UKI75;UKI7;UK
UKJ11;UKJ1;UK
UKJ12;UKJ1;UK
UKJ13;UKJ1;UK
UKJ14;UKJ1;UK
UKJ21;UKJ2;UK
UKJ22;UKJ2;UK
UKJ25;UKJ2;UK
UKJ26;UKJ2;UK
UKJ27;UKJ2;UK
UKJ28;UKJ2;UK
UKJ31;UKJ3;UK
UKJ32;UKJ3;UK
UKJ34;UKJ3;UK
UKJ35;UKJ3;UK
UKJ36;UKJ3;UK
UKJ37;UKJ3;UK
UKJ41;UKJ4;UK
UKJ43;UKJ4;UK
UKJ44;UKJ4;UK
UKJ45;UKJ4;UK
UKJ46;UKJ4;UK
UKK11;UKK1;UK
UKK12;UKK1;UK
UKK13;UKK1;UK
UKK14;UKK1;UK
UKK15;UKK1;UK
UKK21;UKK2;UK
UKK22;UKK2;UK
UKK23;UKK2;UK
UKK30;UKK3;UK
UKK41;UKK4;UK
UKK42;UKK4;UK
UKK43;UKK4;UK
UKL11;UKL1;UK
UKL12;UKL1;UK
UKL13;UKL1;UK
UKL14;UKL1;UK
UKL15;UKL1;UK
UKL16;UKL1;UK
UKL17;UKL1;UK
UKL18;UKL1;UK
UKL21;UKL2;UK
UKL22;UKL2;UK
UKL23;UKL2;UK
UKL24;UKL2;UK
UKM21;UKM2;UK
UKM22;UKM2;UK
UKM23;UKM2;UK
UKM24;UKM2;UK
UKM25;UKM2;UK
UKM26;UKM2;UK
UKM27;UKM2;UK
UKM28;UKM2;UK
UKM31;UKM3;UK
UKM32;UKM3;UK
UKM33;UKM3;UK
UKM34;UKM3;UK
UKM35;UKM3;UK
UKM36;UKM3;UK
UKM37;UKM3;UK
UKM38;UKM3;UK
UKM50;UKM5;UK
UKM61;UKM6;UK
UKM62;UKM6;UK
UKM63;UKM6;UK
UKM64;UKM6;UK
UKM65;UKM6;UK
UKM66;UKM6;UK
UKN01;UKN0;UK
UKN02;UKN0;UK
UKN03;UKN0;UK
UKN04;UKN0;UK
UKN05;UKN0;UK
UKI11;UKI1;UK
UKI12;UKI1;UK
UKI21;UKI2;UK
UKI22;UKI2;UK
UKI23;UKI2;UK
XK000;XK00;XK